List;ItemID;Condition;Group;Type;Narrative;EventQuestion;NaturalnessQuestion;CompQuestion;CompAnswer
D;N01;COM_FRONTEIRA;G1;main;A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, meses depois visitou a exposição de arte, conversou com amigos e voltou para casa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N02;SEM_FRONTEIRA;G2;main;O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, lixou as bordas, montou a estrutura e aplicou o verniz.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N03;COM_FRONTEIRA;G3;main;A professora abriu o editor, preparou os slides, inseriu exemplos, no fim de semana foi à praia, encontrou colegas e voltou revigorada.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N04;COM_FRONTEIRA;G4;main;O fotógrafo ajustou a lente, checou o foco, alterou o ISO, ao anoitecer participou de uma reunião, anotou tarefas e saiu do estúdio.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N05;SEM_FRONTEIRA;G1;main;A redatora abriu o documento, esboçou o título, criou a estrutura, refinou os parágrafos, revisou a gramática e publicou o texto.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N06;COM_FRONTEIRA;G2;main;O técnico ligou o servidor, verificou serviços, atualizou pacotes, em casa preparou o jantar, assistiu a um filme e foi dormir.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N07;COM_FRONTEIRA;G3;main;A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, meses depois visitou a exposição de arte, conversou com amigos e voltou para casa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N08;SEM_FRONTEIRA;G4;main;O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, lixou as bordas, montou a estrutura e aplicou o verniz.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N09;COM_FRONTEIRA;G1;main;A professora abriu o editor, preparou os slides, inseriu exemplos, no fim de semana foi à praia, encontrou colegas e voltou revigorada.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N10;COM_FRONTEIRA;G2;main;O fotógrafo ajustou a lente, checou o foco, alterou o ISO, ao anoitecer participou de uma reunião, anotou tarefas e saiu do estúdio.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N11;SEM_FRONTEIRA;G3;main;A redatora abriu o documento, esboçou o título, criou a estrutura, refinou os parágrafos, revisou a gramática e publicou o texto.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N12;COM_FRONTEIRA;G4;main;O técnico ligou o servidor, verificou serviços, atualizou pacotes, em casa preparou o jantar, assistiu a um filme e foi dormir.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N13;COM_FRONTEIRA;G1;main;A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, meses depois visitou a exposição de arte, conversou com amigos e voltou para casa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N14;SEM_FRONTEIRA;G2;main;O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, lixou as bordas, montou a estrutura e aplicou o verniz.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N15;COM_FRONTEIRA;G3;main;A professora abriu o editor, preparou os slides, inseriu exemplos, no fim de semana foi à praia, encontrou colegas e voltou revigorada.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N16;COM_FRONTEIRA;G4;main;O fotógrafo ajustou a lente, checou o foco, alterou o ISO, ao anoitecer participou de uma reunião, anotou tarefas e saiu do estúdio.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N17;SEM_FRONTEIRA;G1;main;A redatora abriu o documento, esboçou o título, criou a estrutura, refinou os parágrafos, revisou a gramática e publicou o texto.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N18;COM_FRONTEIRA;G2;main;O técnico ligou o servidor, verificou serviços, atualizou pacotes, em casa preparou o jantar, assistiu a um filme e foi dormir.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N19;COM_FRONTEIRA;G3;main;A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, meses depois visitou a exposição de arte, conversou com amigos e voltou para casa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N20;SEM_FRONTEIRA;G4;main;O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, lixou as bordas, montou a estrutura e aplicou o verniz.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N21;COM_FRONTEIRA;G1;main;A professora abriu o editor, preparou os slides, inseriu exemplos, no fim de semana foi à praia, encontrou colegas e voltou revigorada.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N22;COM_FRONTEIRA;G2;main;O fotógrafo ajustou a lente, checou o foco, alterou o ISO, ao anoitecer participou de uma reunião, anotou tarefas e saiu do estúdio.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N23;SEM_FRONTEIRA;G3;main;A redatora abriu o documento, esboçou o título, criou a estrutura, refinou os parágrafos, revisou a gramática e publicou o texto.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N24;COM_FRONTEIRA;G4;main;O técnico ligou o servidor, verificou serviços, atualizou pacotes, em casa preparou o jantar, assistiu a um filme e foi dormir.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N25;COM_FRONTEIRA;G1;main;A bióloga abriu o caderno, conferiu as anotações, ajustou o microscópio, meses depois visitou a exposição de arte, conversou com amigos e voltou para casa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N26;SEM_FRONTEIRA;G2;main;O marceneiro escolheu a madeira, mediu as tábuas, cortou as peças, lixou as bordas, montou a estrutura e aplicou o verniz.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N27;COM_FRONTEIRA;G3;main;A professora abriu o editor, preparou os slides, inseriu exemplos, no fim de semana foi à praia, encontrou colegas e voltou revigorada.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N28;COM_FRONTEIRA;G4;main;O fotógrafo ajustou a lente, checou o foco, alterou o ISO, ao anoitecer participou de uma reunião, anotou tarefas e saiu do estúdio.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N29;SEM_FRONTEIRA;G1;main;A redatora abriu o documento, esboçou o título, criou a estrutura, refinou os parágrafos, revisou a gramática e publicou o texto.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;N30;COM_FRONTEIRA;G2;main;O técnico ligou o servidor, verificou serviços, atualizou pacotes, em casa preparou o jantar, assistiu a um filme e foi dormir.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;F01;FILLER;G4;main;O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;F02;FILLER;G4;main;A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;F03;FILLER;G4;main;O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;F04;FILLER;G4;main;A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;F05;FILLER;G4;main;O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;F06;FILLER;G4;main;A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;F07;FILLER;G4;main;O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;F08;FILLER;G4;main;A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;F09;FILLER;G4;main;O carteiro ajustou a bolsa, tocou a campainha, entregou duas cartas, anotou o número, sorriu para o morador e seguiu a rota.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;F10;FILLER;G4;main;A cozinheira lavou os legumes, cortou as cenouras, refogou a cebola, temperou o caldo, ajustou o sal e serviu a sopa.;A narrativa descreve um único evento?;A narrativa soa natural?;;
D;C01;CHECK;G2;check;O pesquisador abriu a porta, entrou no laboratório, ligou as luzes, checou o cronograma, separou amostras e iniciou o teste.;;;Na narrativa, o pesquisador entrou no laboratório?;S
D;C02;CHECK;G3;check;A atleta amarrou o tênis, alongou-se rapidamente, ajustou o relógio, começou a corrida, manteve o ritmo e cruzou a linha de chegada.;;;A atleta praticou natação na narrativa?;N
D;C03;CHECK;G1;check;O pesquisador abriu a porta, entrou no laboratório, ligou as luzes, checou o cronograma, separou amostras e iniciou o teste.;;;Na narrativa, o pesquisador entrou no laboratório?;S
D;C04;CHECK;G2;check;A atleta amarrou o tênis, alongou-se rapidamente, ajustou o relógio, começou a corrida, manteve o ritmo e cruzou a linha de chegada.;;;A atleta praticou natação na narrativa?;N
D;C05;CHECK;G3;check;O pesquisador abriu a porta, entrou no laboratório, ligou as luzes, checou o cronograma, separou amostras e iniciou o teste.;;;Na narrativa, o pesquisador entrou no laboratório?;S
